Ссылка eBay маназмн;Название товара;Цена;Наличие на складе;Дата доставки;Бренд;Модель;Соответствующие товары на Amazon
https://www.ebay.com/itm/394040787099?epid=19048821868&hash=item5bbea9409b:g:SO0AAOSwtr9gt88F;"WG324 WORX 20V Power Share 5"" Cordless Pruning Saw - SR";US $95.40;More than 10 available;Estimated between Thu, Jan 26 and Mon, Jan 30;WORX;WG324;"https://www.amazon.com/WORX-Cordless-Pruning-Included-Shrubber/dp/B0BD45MLCV/ref=sr_1_1?keywords=WORX+WG324+845534023848&qid=1674447964&sr=8-1
$219.97
B0BD45MLCV

"
https://www.ebay.com/itm/285010123758?epid=20030346484&hash=item425bed5bee:g:kLMAAOSwzeFjYrOR;"WG305 WORX 8 Amp Electric 14"" Chainsaw - SR";US $41.40;8 available;Estimated between Thu, Jan 26 and Mon, Jan 30;WORX;WG305;"https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A097658416GF8G8X26LAP&qualifier=1674447964&id=8068735344506465&widgetName=sp_atf&url=%2FHipa-AdvanceCut-91VXL052G-Compatible-Craftsman%2Fdp%2FB0BHDYPN5R%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DWORX%2BWG305%26qid%3D1674447964%26sr%3D8-2-spons%26psc%3D1
$22.59


"
https://www.ebay.com/itm/393603643969?epid=703625665&hash=item5ba49afa41:g:N4IAAOSwiGtjd-X9;WORX WX572L BladeRunner X2 Portable Tabletop Saw with Blades & Accessories;US $95.40;Limited quantity available;Estimated between Thu, Jan 26 and Mon, Jan 30;WORX;WX572L;"https://www.amazon.com/WX550L-Reciprocating-Orbital-Variable-Tool-Free/dp/B01LW6OEMU/ref=sr_1_3?keywords=WORX+WX572L&qid=1674447965&sr=8-3
$83.20
B01LW6OEMU

"
https://www.ebay.com/itm/393657579890?epid=17045087648&hash=item5ba7d1f972:g:5zQAAOSwCQpjYXAa;"WG349 WORX 20V PowerShare 8"" Cordless Pole Saw & Chainsaw with 13"" Reach";US $101.40;1 available;Estimated between Thu, Jan 26 and Mon, Jan 30;WORX;WG349;"https://www.amazon.com/WORX-Attachment-Capable-WG349-Orange/dp/B07W5JX8RP/ref=sr_1_1?keywords=WORX+WG349+0845534020915&qid=1674447965&sr=8-1
$149.11
B07W5JX8RP

"
https://www.ebay.com/itm/394092180976?hash=item5bc1b975f0:g:93oAAOSwMDVjl5ht;BR9270U Blue Ridge 21.5” Steel Bypass Lopper with Enhanced Rust Resistance;US $12.99;Limited quantity available;Estimated between Thu, Jan 26 and Tue, Jan 31;Blue+Ridge+Tools;BR9270U;"https://www.amazon.com/Best-Choice-40-Piece-Purpose-Household/dp/B073TRFB7B/ref=sr_1_3?keywords=Blue+Ridge+Tools+BR9270U+822465340367&qid=1674447965&sr=8-3
$19.99
B073TRFB7B

"
